Unnamed: 0,Region,City,City_code
39,шида-картли,гори,c10284
274,самцхе-джавахети,ахалкалаки,c28368
276,самцхе-джавахети,ахалцихе,c39849
279,гурия,уреки,c71110
280,автономная республика аджария,батуми,c10278
307,самегрело и земо-сванети,зугдиди,c44113
308,самегрело и земо-сванети,поти,c10283
313,мцхета-мтианети,тбилиси,c10277
314,мцхета-мтианети,степанцминда,c71117
316,мцхета-мтианети,гудаури,c29862
320,квемо-картли,рустави,c10285
325,имеретия,кутаиси,c10279
338,гехаркуник,севан,c10263
351,армавир,армавир,c10257
385,ширак,гюмри,c10259
415,лори,алаверди,c41344
417,лори,спитак,c41346
418,лори,ванадзор,c10258
425,ереван,ереван,c10262
497,котайк,чаренцаван,c41354
510,котайк,раздан,c28100
516,тавуш,ноемберян,c41362
518,тавуш,иджеван,c28102
522,тавуш,дилижан,c10261
527,габалинский район,габала,c29694
692,ленкоранский район,ленкорань,c26969
693,кубинский район,куба,c29711
694,нахичеванская автономная республика,нахичевань,c22200
696,хачмасский район,хачмас,c29727
697,шабранский район,шабран,c29731
762,кайо,сан-игнасио,c28001
764,кайо,бельмопан,c24387
922,пльзенский край,пльзень,c28204
925,высочина,гумполец,c30925
926,высочина,пельгржимов,c30936
927,высочина,йиглава,c30919
929,среднечешский край,колин,c30416
931,среднечешский край,кладно,c30415
933,среднечешский край,бероун,c30400
934,среднечешский край,мельник,c30424
935,среднечешский край,млада-болеслав,c30426
936,среднечешский край,брандис-над-лабем-стара-болеслав,c30401
937,среднечешский край,подебрады,c30437
938,среднечешский край,нератовице,c30430
941,южноморавский край,брно,c10509
947,южноморавский край,зноймо,c30844
948,злинский край,угерске-градиште,c30903
950,краловеградецкий край,наход,c30674
951,краловеградецкий край,градец-кралове,c30664
953,пардубицкий край,свитавы,c30732
954,пардубицкий край,пардубице,c23359
958,пардубицкий край,высоке мыто,c30718
959,оломоуцкий край,оломоуц,c26443
962,оломоуцкий край,простеёв,c30777
963,оломоуцкий край,границе,c30768
965,моравскосилезский край,хотебуз,c30813
966,моравскосилезский край,острава,c22304
973,моравскосилезский край,карвина,c30795
974,моравскосилезский край,пршибор,c30804
975,моравскосилезский край,богумин,c41496
976,моравскосилезский край,фридек-мистек,c30810
977,моравскосилезский край,чески тешин,c30815
979,моравскосилезский край,тршинец,c30808
980,южночешский край,писек,c30512
981,южночешский край,табор,c30521
983,южночешский край,ческе-будеёвице,c30526
985,карловарский край,марианске-лазне,c21613
986,карловарский край,карловы вары,c10510
989,карловарский край,хеб,c30562
990,карловарский край,соколов,c30557
993,устецкий край,усти-над-лабем,c30572
994,устецкий край,мост,c30591
995,устецкий край,лоуни,c30590
